Geographic code;Geographic name;Geographic Type;Geographic Name, province or territory;Geographic Code, province or territory;Geographic code, census division;Geographic code, census metropolitan area or census agglomeration;Global non-response rate;Data quality flag;Age;Sex;Total population;Period of immigration - Non-immigrants (2016 counts);Period of immigration - Immigrants (2016 counts);Period of immigration - Before 2001 (2016 counts);Period of immigration - 2001 to 2005 (2016 counts);Period of immigration - 2006 to 2010 (2016 counts);Period of immigration - 2011 to 2016 (2016 counts);Period of immigration - Non-permanent residents (2016 counts);Total population (% distribution 2016);Period of immigration - Non-immigrants (% distribution 2016);Period of immigration - Immigrants (% distribution 2016);Period of immigration - Before 2001 (% distribution 2016);Period of immigration - 2001 to 2005 (% distribution 2016);Period of immigration - 2006 to 2010 (% distribution 2016);Period of immigration - 2011 to 2016 (% distribution 2016);Period of immigration - Non-permanent residents (% distribution 2016)
1102080;Stratford;Town;Prince Edward Island;11;2;105;3.2;0;65 to 74;Female;530;475;50;55;0;0;0;0;100;89.6;9.4;10.4;0;0;0;0
1102080;Stratford;Town;Prince Edward Island;11;2;105;3.2;0;15 to 24;Female;550;485;40;0;10;10;15;35;100;88.2;7.3;0;1.8;1.8;2.7;6.4
1102080;Stratford;Town;Prince Edward Island;11;2;105;3.2;0;25 to 34;Female;580;520;45;10;0;0;30;15;100;89.7;7.8;1.7;0;0;5.2;2.6
1102080;Stratford;Town;Prince Edward Island;11;2;105;3.2;0;55 to 64;Female;680;635;45;40;0;10;10;0;100;93.4;6.6;5.9;0;1.5;1.5;0
1102080;Stratford;Town;Prince Edward Island;11;2;105;3.2;0;45 to 54;Female;735;655;70;15;10;15;35;20;100;89.1;9.5;2;1.4;2;4.8;2.7
1102080;Stratford;Town;Prince Edward Island;11;2;105;3.2;0;35 to 44;Female;755;620;120;15;0;15;90;20;100;82.1;15.9;2;0;2;11.9;2.6
1102085;Cornwall;Town;Prince Edward Island;11;2;105;7;0;75 years and over;Male;140;120;20;20;0;0;0;10;100;85.7;14.3;14.3;0;0;0;7.1
1102085;Cornwall;Town;Prince Edward Island;11;2;105;7;0;75 years and over;Female;145;135;10;0;0;0;0;0;100;93.1;6.9;0;0;0;0;0
1102085;Cornwall;Town;Prince Edward Island;11;2;105;7;0;0 to 14;Male;535;510;25;0;0;10;15;0;100;95.3;4.7;0;0;1.9;2.8;0
1102085;Cornwall;Town;Prince Edward Island;11;2;105;7;0;65 to 74;Male;265;245;15;15;0;0;0;0;100;92.5;5.7;5.7;0;0;0;0
1102085;Cornwall;Town;Prince Edward Island;11;2;105;7;0;55 to 64;Male;280;255;20;15;0;0;0;0;100;91.1;7.1;5.4;0;0;0;0
